DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Blouse   Ecru, écru,#4e3e36,Gray,DimGrey,#373336,Black,MidnightBlue,#372f33,Black,MidnightBlue,#4b3731,Black,DimGrey,,,
Top   Vert, vert  ,#6bc288,Gray,LightGreen,#45ae6e,Gray,SeaGreen,#61c184,Gray,LightGreen,#69c288,Gray,LightGreen,,,
Top portefeuille   Rose pâle, rose pâle  ,#f0dbd1,Silver,Beige,#e5b89a,Silver,Tan,#988068,Gray,Grey,#ecd6cb,Silver,LightGrey,,,
Top portefeuille   Rose pâle, rose pâle  ,#f0dbd1,Silver,Beige,#e5b89a,Silver,Tan,#988068,Gray,Grey,#ecd6cb,Silver,LightGrey,,,
Top portefeuille   Rose pâle, rose pâle  ,#f0dbd1,Silver,Beige,#e5b89a,Silver,Tan,#988068,Gray,Grey,#ecd6cb,Silver,LightGrey,,,
Top motifs fleuris   Rouge et bleu marine, rouge,#ce4445,Gray,Crimson,#cd494d,Gray,Tomato,#e7bcac,Silver,LightPink,#493247,Gray,MidnightBlue,,,
Blouse   Ecru, écru  ,#e7c8b3,Silver,LightPink,#e2dcd7,Silver,LightGrey,#3b3659,Teal,MidnightBlue,#e4c7b2,Silver,LightPink,,,
Top   Ecru, écru  ,#5f7e95,Gray,Grey,#dbbda5,Silver,Tan,#8fa4b2,Silver,DarkGrey,#513224,Black,Maroon,,,
Blouse Brique, brique  ,#de4d50,Gray,Tomato,#e75658,Gray,Tomato,#eacdbf,Silver,Pink,#d75156,Gray,Tomato,,,
Blouse Brique, brique  ,#de4d50,Gray,Tomato,#e75658,Gray,Tomato,#eacdbf,Silver,Pink,#d85256,Gray,Tomato,,,
Blouse Brique, brique  ,#de4e50,Gray,Tomato,#e75658,Gray,Tomato,#eacdbf,Silver,Pink,#d75156,Gray,Tomato,,,
Blouse   Ecru, écru  ,#eec8a8,Silver,LightPink,#f0caa9,Silver,Moccasin,#545064,Gray,DimGrey,#eeccad,Silver,Moccasin,,,
Blouse   Ecru, écru  ,#eec7a8,Silver,LightPink,#f0caa9,Silver,Moccasin,#545064,Gray,DimGrey,#eeccad,Silver,Moccasin,,,
Blouse   Ecru, écru  ,#eec7a8,Silver,LightPink,#f0caa9,Silver,Moccasin,#545064,Gray,DimGrey,#eeccad,Silver,Moccasin,,,
Blouse à perles Noir, noir  ,#3c3233,Black,MidnightBlue,#3c3130,Black,MidnightBlue,#3d3334,Black,MidnightBlue,#2e2828,Black,Black,,,
Blouse à perles Noir, noir  ,#3c3233,Black,MidnightBlue,#3d3130,Black,MidnightBlue,#3d3334,Black,MidnightBlue,#2e2828,Black,Black,,,
Top   Rouge, rouge  ,#f53f3c,Orange,Tomato,#fb3d39,Orange,Tomato,#67799f,Gray,Grey,#fb3232,Orange,Crimson,,,
Top   Ecru,,#dcd2cc,Silver,LightGrey,#4a4749,Gray,DimGrey,#343146,Black,MidnightBlue,#c18d6e,Gray,RosyBrown,,,
Top Blanc, blanc,#e4b594,Silver,Tan,#e8bc9c,Silver,Tan,#4c454a,Gray,DimGrey,#bbb8bf,Silver,Silver,,,
Top Blanc, blanc,#e4b594,Silver,Tan,#e8bc9c,Silver,Tan,#4c454a,Gray,DimGrey,#bbb8bf,Silver,Silver,,,
Top à rayures   Bleu marine et rouge, bleu marine,#353a62,Teal,MidnightBlue,#7d5861,Gray,DimGrey,#3c3749,Teal,MidnightBlue,#263058,Teal,MidnightBlue,,,
Top à rayures   Bleu marine et rouge, bleu marine,#353a62,Teal,MidnightBlue,#7d5861,Gray,DimGrey,#3c3749,Teal,MidnightBlue,#263058,Teal,MidnightBlue,,,
Top   Gris, gris  ,#d7d8da,Silver,LightGrey,#d4d5d9,Silver,LightGrey,#353143,Black,MidnightBlue,#cccbcb,Silver,LightGrey,,,
Top   Gris, gris  ,#d7d8da,Silver,LightGrey,#d4d5d9,Silver,LightGrey,#353143,Black,MidnightBlue,#cccbcb,Silver,LightGrey,,,
Top   Gris, gris  ,#d7d8da,Silver,LightGrey,#d4d5d9,Silver,LightGrey,#353143,Black,MidnightBlue,#cdcccc,Silver,LightGrey,,,
Top en lin irisé   Turquoise, turquoise  ,#10a6c3,Teal,DarkTurquoise,#3abbd4,Aqua,MediumTurquoise,#30b7d2,Aqua,MediumTurquoise,#26aac2,Teal,MediumTurquoise,,,
Top en lin irisé   Turquoise, turquoise  ,#10a6c3,Teal,DarkTurquoise,#3abbd4,Aqua,MediumTurquoise,#30b7d2,Aqua,MediumTurquoise,#26aac2,Teal,MediumTurquoise,,,
Top Noir, noir  ,#352c33,Black,MidnightBlue,#383139,Black,MidnightBlue,#deb594,Silver,Tan,#302829,Black,Black,,,
Top Noir, noir  ,#352c33,Black,MidnightBlue,#383139,Black,MidnightBlue,#deb594,Silver,Tan,#302829,Black,Black,,,
Top Noir, noir  ,#352c33,Black,MidnightBlue,#383139,Black,MidnightBlue,#deb594,Silver,Tan,#302829,Black,Black,,,
Top motifs fantaisie Bleu canard, bleu canard,#a3a0a1,Silver,DarkGrey,#e3ba9a,Silver,Tan,#3f3a3f,Black,MidnightBlue,#cdc1ad,Silver,Silver,,,
Top   Blanc, blanc,#b1b1bc,Silver,Silver,#e7be9c,Silver,Tan,#41383f,Black,MidnightBlue,#e2dbd7,Silver,LightGrey,,,
Top   Blanc, blanc,#b1b1bc,Silver,Silver,#e7be9c,Silver,Tan,#41383f,Black,MidnightBlue,#e2dbd7,Silver,LightGrey,,,
Top en dentelle   Ecru, écru  ,#eccbae,Silver,Moccasin,#ddd8d5,Silver,LightGrey,#6b96c3,Gray,MediumPurple,#e7d5c5,Silver,LightGrey,,,
Top   Rose pâle, rose pâle  ,#ebd6cb,Silver,LightGrey,#e6bd9a,Silver,Tan,#d6b4a4,Silver,Tan,#dbb7ab,Silver,Tan,,,
Top   Rose pâle, rose pâle  ,#ebd6cb,Silver,LightGrey,#e6bd9a,Silver,Tan,#d6b4a4,Silver,Tan,#dbb7ab,Silver,Tan,,,
Top   Ecru, écru  ,#d4c5b6,Silver,Silver,#ebc9a6,Silver,Moccasin,#92b0c5,Silver,DarkGrey,#ded4ca,Silver,LightGrey,,,
Top   Ecru, écru  ,#d4c5b6,Silver,Silver,#eccaa7,Silver,Moccasin,#92b0c5,Silver,DarkGrey,#ded4ca,Silver,LightGrey,,,
Top motifs fantaisie Noir, noir et blanc  ,#918b8c,Gray,Grey,#a39d9e,Gray,DarkGrey,#dfc2b2,Silver,Silver,#dddadc,Silver,LightGrey,,,
Top motifs fantaisie Noir, noir et blanc  ,#928c8c,Gray,Grey,#a39d9e,Gray,DarkGrey,#dfc2b2,Silver,Silver,#dddadc,Silver,LightGrey,,,
Top motifs fantaisie Noir, noir et blanc  ,#918b8c,Gray,Grey,#a39d9e,Gray,DarkGrey,#dfc2b2,Silver,Silver,#dddadc,Silver,LightGrey,,,
Top guipure   Blanc, blanc et bleu marine  ,#524143,Gray,DimGrey,#eec8a5,Silver,Moccasin,#545066,Gray,DimGrey,#34313e,Black,MidnightBlue,,,
Top guipure   Blanc, blanc et bleu marine  ,#524143,Gray,DimGrey,#eec8a5,Silver,Moccasin,#545066,Gray,DimGrey,#34313e,Black,MidnightBlue,,,
Top guipure   Orange, orange et blanc  ,#fca16a,Orange,Salmon,#fc9058,Orange,Coral,#f48f5a,Orange,Coral,#fc8c57,Orange,Coral,,,
Top guipure   Orange, orange et blanc  ,#fca16a,Orange,Salmon,#fc9058,Orange,Coral,#f48f5a,Orange,Coral,#fc8c57,Orange,Coral,,,
Top en lin   Blanc, blanc et argenté  ,#dbc1a9,Silver,Tan,#dbb18a,Silver,Tan,#433e40,Gray,DimGrey,#e6cfb6,Silver,Moccasin,,,
Top Turquoise, turquoise  ,#06bddd,Aqua,DarkTurquoise,#00bdde,Aqua,DarkTurquoise,#2e272a,Black,MidnightBlue,#09bcdc,Aqua,DarkTurquoise,,,
Top Turquoise, turquoise  ,#06bddd,Aqua,DarkTurquoise,#00bdde,Aqua,DarkTurquoise,#2e272a,Black,MidnightBlue,#09bcdc,Aqua,DarkTurquoise,,,
Top Ciel, ciel  ,#71452c,Gray,Brown,#cddce5,Silver,LightGrey,#ec7c70,Gray,Salmon,#e7ceb5,Silver,Moccasin,,,
Top Ciel, ciel  ,#71452c,Gray,Brown,#cddce5,Silver,LightGrey,#ec7c70,Gray,Salmon,#e7ceb5,Silver,Moccasin,,,
T-shirt   Blanc, blanc,#c6ddd8,Silver,LightGrey,#e5ba97,Silver,Tan,#5d81a3,Gray,Grey,#e1ddd8,Silver,LightGrey,,,
T-shirt   Blanc, blanc,#c6ddd8,Silver,LightGrey,#e5ba97,Silver,Tan,#5d81a3,Gray,Grey,#e1ddd8,Silver,LightGrey,,,
Top motifs fantaisie  Ecru, écru  ,#c8b7a8,Silver,Silver,#e6bb9a,Silver,Tan,#525363,Gray,DimGrey,#eec8a9,Silver,Moccasin,,,
Top   Ciel, ciel  ,#e4c4a8,Silver,Tan,#dcb8a0,Silver,Tan,#cebeb4,Silver,Silver,#e5cdb4,Silver,Moccasin,,,
Top   Ecru, écru et doré  ,#f3d8c1,Silver,Moccasin,#e7bd9a,Silver,Tan,#4c4658,Gray,DimGrey,#e9c5a7,Silver,LightPink,,,
Top   Ecru, écru et doré  ,#f3d8c1,Silver,Moccasin,#e7bd9a,Silver,Tan,#4c4658,Gray,DimGrey,#e9c5a7,Silver,LightPink,,,
Top   Bleu marine, bleu marine et doré  ,#343563,Teal,MidnightBlue,#3f4380,Teal,MidnightBlue,#d9c6c2,Silver,LightGrey,#363768,Teal,MidnightBlue,,,
Top   Bleu marine, bleu marine et doré  ,#343563,Teal,MidnightBlue,#3f4380,Teal,MidnightBlue,#d9c6c2,Silver,LightGrey,#363768,Teal,MidnightBlue,,,
Top   Bleu marine, bleu marine et doré  ,#343563,Teal,MidnightBlue,#3f4380,Teal,MidnightBlue,#d9c6c2,Silver,LightGrey,#363768,Teal,MidnightBlue,,,
Top   Bleu marine, bleu marine et doré  ,#343563,Teal,MidnightBlue,#3f4380,Teal,MidnightBlue,#d9c6c2,Silver,LightGrey,#363768,Teal,MidnightBlue,,,
Top   Bleu marine, bleu marine et doré  ,#343563,Teal,MidnightBlue,#3f4380,Teal,MidnightBlue,#d9c6c2,Silver,LightGrey,#363768,Teal,MidnightBlue,,,
T-shirt   Blanc,,#cfb3a8,Silver,Tan,#e7bc9a,Silver,Tan,#413a4d,Gray,MidnightBlue,#e4dcda,Silver,LightGrey,,,
T-shirt   Blanc,,#cfb3a8,Silver,Tan,#e7bc9a,Silver,Tan,#413a4d,Gray,MidnightBlue,#e4dcda,Silver,LightGrey,,,
T-shirt   Blanc,,#cfb3a8,Silver,Tan,#e7bc9a,Silver,Tan,#413a4d,Gray,MidnightBlue,#e4dcda,Silver,LightGrey,,,
Top en dentelle Ecru, écru  ,#e7dacf,Silver,LightGrey,#e8dcd3,Silver,LightGrey,#e9d7d0,Silver,LightGrey,#dbc7b8,Silver,Silver,,,
Top Fuchsia, fuchsia  ,#c51772,Gray,Crimson,#eb3da4,Fuschia,DeepPink,#ee4dad,Fuschia,DeepPink,#d73387,Gray,DeepPink,,,
Top  Blanc, blanc et argenté  ,#ecc3a3,Silver,LightPink,#deb497,Silver,Tan,#e2bfae,Silver,LightPink,#b9a391,Silver,RosyBrown,,,
Top  Blanc, blanc  ,#ecc9ac,Silver,LightPink,#e3b693,Silver,Tan,#afbdc1,Silver,Silver,#dedbd1,Silver,LightGrey,,,
Top Noir, noir  ,#2e282d,Black,MidnightBlue,#352d34,Black,MidnightBlue,#3c3239,Black,MidnightBlue,#42352f,Black,MidnightBlue,,,
Top Noir, noir  ,#2e282d,Black,MidnightBlue,#352d34,Black,MidnightBlue,#3c3239,Black,MidnightBlue,#42352f,Black,MidnightBlue,,,
Top Noir, noir  ,#2e282d,Black,MidnightBlue,#352d34,Black,MidnightBlue,#3c3239,Black,MidnightBlue,#42352f,Black,MidnightBlue,,,
Top  Noir, noir  ,#2b252c,Black,MidnightBlue,#332e37,Black,MidnightBlue,#e8c9b9,Silver,Pink,#292227,Black,Black,,,
Top métallisé   Argenté, gris,#d5d0ce,Silver,LightGrey,#d2ccc9,Silver,LightGrey,#483a39,Black,DimGrey,#d6d2d0,Silver,LightGrey,,,
Top Blanc, blanc  ,#eac7b1,Silver,LightPink,#ccb2ab,Silver,Silver,#e7c4b0,Silver,LightPink,#eecbb4,Silver,Moccasin,,,
Top motif papillon Ecru, écru,#e0bfa5,Silver,Tan,#ebc2a8,Silver,LightPink,#e9c1a8,Silver,LightPink,#ceb19b,Silver,Tan,,,
Top Bleu marine, bleu marine et argenté  ,#5767ab,Gray,RoyalBlue,#495597,Gray,DimGrey,#c0bfc3,Silver,Silver,#2d3259,Teal,MidnightBlue,,,
Top en lin   Rouge, rouge  ,#fd5d22,Orange,Tomato,#fd6424,Orange,Tomato,#7f9ebc,Gray,DarkGrey,#fa6b24,Orange,Tomato,,,
Top motifs fleuris   Bleu marine, bleu marine,#434271,Gray,DimGrey,#425090,Gray,DimGrey,#554f64,Gray,DimGrey,#565990,Gray,DimGrey,,,
Top motifs fleuris   Bleu marine, bleu marine,#434271,Gray,DimGrey,#425090,Gray,DimGrey,#554f64,Gray,DimGrey,#56588f,Gray,DimGrey,,,
Top   Noir, noir  ,#302525,Black,Black,#2e2425,Black,Black,#d6bcab,Silver,Silver,#2a2020,Black,Black,,,
Top en dentelle Noir, noir  ,#2e292f,Black,MidnightBlue,#3e3230,Black,MidnightBlue,#484347,Gray,DimGrey,#2c211d,Black,Black,,,
Top en dentelle Noir, noir  ,#2e292f,Black,MidnightBlue,#3e3230,Black,MidnightBlue,#484347,Gray,DimGrey,#2c211d,Black,Black,,,
Top   Jaune, jaune  ,#f3e79c,Silver,Khaki,#f2eba2,Silver,Khaki,#f1e6aa,Silver,Moccasin,#e5c6a9,Silver,LightPink,,,
Top   Jaune, jaune  ,#f3e79c,Silver,Khaki,#f2eba2,Silver,Khaki,#f1e6aa,Silver,Moccasin,#e5c6a9,Silver,LightPink,,,
Top à sequins   Blanc, blanc,#84919b,Gray,Grey,#eac2a3,Silver,Tan,#a5bcd0,Silver,Silver,#d4ba99,Silver,Tan,,,
Top   Blanc, blanc  ,#ebc6a6,Silver,LightPink,#e7c7b2,Silver,LightPink,#353550,Teal,MidnightBlue,#e0d9d7,Silver,LightGrey,,,
Top en lin   Blanc,,#c3c2ba,Silver,Silver,#393337,Black,MidnightBlue,#d8baae,Silver,Silver,#c5d8de,Silver,LightGrey,,,
T-shirt   Blanc,,#c0b7b8,Silver,Silver,#edc4a9,Silver,LightPink,#352c30,Black,MidnightBlue,#425575,Gray,DimGrey,,,
Top   Blanc, blanc et argenté  ,#e7bb9a,Silver,Tan,#e6b995,Silver,Tan,#312f40,Black,MidnightBlue,#e8be9f,Silver,Tan,,,
Top Rose, rose  ,#fd8dbf,Silver,LightPink,#fc8cbf,Silver,LightPink,#d1deea,Silver,Lavender,#fb80b4,Silver,LightPink,,,
Top   Vert, vert et argenté  ,#2fb172,Teal,SeaGreen,#77c990,Gray,LightGreen,#cdbfbb,Silver,Silver,#3aa172,Teal,SeaGreen,,,
Top   Vert, vert et argenté  ,#2fb172,Teal,SeaGreen,#77c990,Gray,LightGreen,#cdbfbb,Silver,Silver,#3aa172,Teal,SeaGreen,,,
Top dentelle Blanc, blanc  ,#dac6c1,Silver,LightGrey,#dfb194,Silver,Tan,#eed2c3,Silver,Pink,#bc9485,Gray,RosyBrown,,,
Top dentelle Blanc, blanc  ,#dac6c1,Silver,LightGrey,#dfb194,Silver,Tan,#eed2c3,Silver,Pink,#bc9485,Gray,RosyBrown,,,
Top dentelle Blanc, blanc  ,#dac6c1,Silver,LightGrey,#dfb194,Silver,Tan,#eed2c3,Silver,Pink,#bc9485,Gray,RosyBrown,,,
Top   Corail fluo, corail fluo,#f5b79a,Silver,Tan,#fdc3a6,Silver,LightPink,#3e3447,Black,MidnightBlue,#e9b996,Silver,Tan,,,
Top   Blanc, blanc  ,#ebc1a2,Silver,Tan,#f0caae,Silver,Moccasin,#45426c,Gray,DimGrey,#d1c9cf,Silver,LightGrey,,,
Top   Ecru et doré, écru et doré  ,#dedbc9,Silver,LightGrey,#e4b693,Silver,Tan,#c99c75,Gray,DarkKhaki,#dfdac6,Silver,LightGrey,,,
Top   Ecru et doré, écru et doré  ,#dedbc9,Silver,LightGrey,#e4b693,Silver,Tan,#c99c75,Gray,DarkKhaki,#dfdac7,Silver,LightGrey,,,
T-shirt Blanc, blanc,#b5aea7,Silver,DarkGrey,#ecc4aa,Silver,LightPink,#be7f4b,Gray,Chocolate,#d9cdb8,Silver,LightGrey,,,
T-shirt Blanc, blanc,#b5aea7,Silver,DarkGrey,#ecc4aa,Silver,LightPink,#be7f4b,Gray,Chocolate,#d9cdb8,Silver,LightGrey,,,
Top Blanc, blanc et noir  ,#5c534f,Gray,DimGrey,#84553a,Gray,Brown,#3d3538,Black,MidnightBlue,#504742,Gray,DimGrey,,,
Top   Violet, violet,#5b4695,Gray,DimGrey,#60499f,Gray,DimGrey,#f2715f,Orange,Coral,#e6cab3,Silver,LightPink,,,
Top Corail, corail  ,#f99790,Silver,Salmon,#fdb3ad,Silver,LightPink,#e5b9a2,Silver,Tan,#efc4a7,Silver,LightPink,,,
Top   Noisette chiné, noisette chiné et doré  ,#aa9986,Gray,RosyBrown,#bfaa92,Silver,Tan,#bfa48c,Silver,RosyBrown,#e3b593,Silver,Tan,,,
Top   Noisette chiné, noisette chiné et doré  ,#aa9986,Gray,RosyBrown,#bfaa92,Silver,Tan,#bfa48c,Silver,RosyBrown,#e3b594,Silver,Tan,,,
Top   Noisette chiné, noisette chiné et doré  ,#aa9986,Gray,RosyBrown,#bfaa92,Silver,Tan,#bfa48c,Silver,RosyBrown,#e3b594,Silver,Tan,,,
Top   Noisette chiné, noisette chiné et doré  ,#aa9986,Gray,RosyBrown,#bfaa93,Silver,Tan,#bfa48c,Silver,RosyBrown,#e3b594,Silver,Tan,,,
Top à rayures Gris, gris,#413635,Black,MidnightBlue,#58453e,Gray,DimGrey,#373347,Black,MidnightBlue,#ddb89b,Silver,Tan,,,
Top à rayures Gris, gris,#413635,Black,MidnightBlue,#58453e,Gray,DimGrey,#373347,Black,MidnightBlue,#ddb89b,Silver,Tan,,,
Top   Gris chiné, gris chiné,#dbd6da,Silver,LightGrey,#dedddb,Silver,LightGrey,#342b2c,Black,MidnightBlue,#b8aeb3,Silver,DarkGrey,,,
Top   Gris chiné, gris chiné,#dbd6da,Silver,LightGrey,#dedddb,Silver,LightGrey,#342b2c,Black,MidnightBlue,#b8aeb3,Silver,DarkGrey,,,
Top en lin   Blanc, blanc  ,#d0c9c1,Silver,Silver,#dfb68d,Silver,Tan,#dccfc9,Silver,LightGrey,#e1cab4,Silver,LightGrey,,,
Top en lin   Blanc, blanc  ,#d0c9c1,Silver,Silver,#dfb68d,Silver,Tan,#dccfc9,Silver,LightGrey,#e1cab4,Silver,LightGrey,,,
Top en lin Blanc, blanc,#5c4339,Gray,DimGrey,#e5bb99,Silver,Tan,#3e3436,Black,MidnightBlue,#584942,Gray,DimGrey,,,
Top en lin Blanc, blanc,#5c4339,Gray,DimGrey,#e5bb99,Silver,Tan,#3e3436,Black,MidnightBlue,#584942,Gray,DimGrey,,,
Top en lin Blanc, blanc,#5c4339,Gray,DimGrey,#e5bb99,Silver,Tan,#3e3436,Black,MidnightBlue,#584942,Gray,DimGrey,,,
Top en lin Blanc, blanc,#5c4339,Gray,DimGrey,#e5bb99,Silver,Tan,#3e3436,Black,MidnightBlue,#584942,Gray,DimGrey,,,
Top en lin   Ecru, écru,#bbafa2,Silver,DarkGrey,#e0b28f,Silver,Tan,#61595b,Gray,DimGrey,#65594e,Gray,DimGrey,,,
Top en lin   Ecru, écru,#bbafa2,Silver,DarkGrey,#e0b28f,Silver,Tan,#61595b,Gray,DimGrey,#65594e,Gray,DimGrey,,,
Top en lin Blanc, blanc  ,#dac7b1,Silver,Silver,#deded8,Silver,LightGrey,#a8a198,Silver,DarkGrey,#e5c9ae,Silver,LightPink,,,
Top Blanc, blanc,#dfc5b6,Silver,Silver,#e4b897,Silver,Tan,#382e31,Black,MidnightBlue,#e0dbd7,Silver,LightGrey,,,
Top   Gris chiné, gris chiné et argenté  ,#d9d6d7,Silver,LightGrey,#e1dcdc,Silver,LightGrey,#493a3a,Black,DimGrey,#d1cccc,Silver,LightGrey,,,
Top motifs fantaisie Gris, gris et noir  ,#908d8d,Gray,Grey,#959392,Gray,Grey,#413b3f,Black,MidnightBlue,#2d282c,Black,MidnightBlue,,,
Top motifs fleuris   Beige, beige,#cabcae,Silver,Silver,#d6cfc3,Silver,LightGrey,#454671,Gray,DimGrey,#e5dbcc,Silver,LightGrey,,,
Top motifs fleuris   Beige, beige,#cabcae,Silver,Silver,#d6cfc3,Silver,LightGrey,#454671,Gray,DimGrey,#e5dbcc,Silver,LightGrey,,,
Top Ecru, écru et doré  ,#dcd3c6,Silver,LightGrey,#e1b290,Silver,Tan,#deb595,Silver,Tan,#dca983,Silver,Tan,,,
Top   Ecru, écru,#ccbaae,Silver,Silver,#80553f,Gray,DimGrey,#3c467d,Teal,DimGrey,#d3cdca,Silver,LightGrey,,,
Top   Ecru, écru,#ccbaae,Silver,Silver,#80553f,Gray,DimGrey,#3c467d,Teal,DimGrey,#d3cdca,Silver,LightGrey,,,
Top   Ecru, écru,#ccbaae,Silver,Silver,#80553f,Gray,DimGrey,#3c467d,Teal,DimGrey,#d3cdca,Silver,LightGrey,,,
Top   Noir, noir et doré  ,#473b3a,Black,DimGrey,#40393b,Black,MidnightBlue,#e0cbab,Silver,Silver,#2d2423,Black,Black,,,
Top   Noir, noir et doré  ,#473b3a,Black,DimGrey,#40393b,Black,MidnightBlue,#e0cbab,Silver,Silver,#2d2423,Black,Black,,,
Top à rayures   Bleu marine et blanc, bleu marine et blanc  ,#2b3662,Teal,MidnightBlue,#304279,Teal,MidnightBlue,#bdbecc,Silver,Silver,#2b3c72,Teal,MidnightBlue,,,
Top à rayures   Bleu marine et blanc, bleu marine et blanc  ,#2b3662,Teal,MidnightBlue,#304279,Teal,MidnightBlue,#bdbecc,Silver,Silver,#2b3c72,Teal,MidnightBlue,,,
Top Bleu marine, bleu marine et doré  ,#3a427a,Teal,MidnightBlue,#3e4a8b,Teal,DimGrey,#424b88,Gray,DimGrey,#292e5b,Teal,MidnightBlue,,,
Top en dentelle Blanc, blanc  ,#dda787,Silver,Tan,#e4dcd8,Silver,LightGrey,#595154,Gray,DimGrey,#e4d3c7,Silver,LightGrey,,,
Top en dentelle Blanc, blanc  ,#dda787,Silver,Tan,#e4dcd8,Silver,LightGrey,#595154,Gray,DimGrey,#e4d3c7,Silver,LightGrey,,,
Top   Gris chiné, gris chiné   ,#bab9b9,Silver,Silver,#bbb6b5,Silver,Silver,#4c4242,Gray,DimGrey,#89817d,Gray,Grey,,,
Top à rayures   Bleu marine et blanc, bleu marine,#373c6c,Teal,MidnightBlue,#343b6b,Teal,MidnightBlue,#3b3e55,Teal,MidnightBlue,#2b3567,Teal,MidnightBlue,,,
Top Noir, noir,#614b52,Gray,DimGrey,#656266,Gray,DimGrey,#e7c5af,Silver,LightPink,#49383b,Black,DimGrey,,,
Top Noir, noir,#614b52,Gray,DimGrey,#666366,Gray,DimGrey,#e7c5b0,Silver,LightPink,#49383b,Black,DimGrey,,,
Chemise Blanc, blanc et doré  ,#d8c8be,Silver,LightGrey,#dddde1,Silver,LightGrey,#603d2d,Gray,Brown,#c58d63,Gray,DarkKhaki,,,
Chemise Blanc, blanc et doré  ,#d8c8be,Silver,LightGrey,#dddde1,Silver,LightGrey,#603d2d,Gray,Brown,#c58d63,Gray,DarkKhaki,,,
Chemise Blanc, blanc et doré  ,#d8c8be,Silver,LightGrey,#dddde1,Silver,LightGrey,#603d2d,Gray,Brown,#c58d63,Gray,DarkKhaki,,,
Top   Noir, noir  ,#3b3136,Black,MidnightBlue,#342b30,Black,MidnightBlue,#393136,Black,MidnightBlue,#eac19f,Silver,Tan,,,
Top   Noir, noir  ,#3b3136,Black,MidnightBlue,#342b30,Black,MidnightBlue,#393136,Black,MidnightBlue,#eac19f,Silver,Tan,,,
Bustier en dentelle   Blanc et noir, blanc et noir  ,#dcd1cd,Silver,LightGrey,#f3d8c0,Silver,Moccasin,#332a2c,Black,MidnightBlue,#e8c1a3,Silver,Tan,,,
Top asymétrique   Noir, noir et argenté  ,#383234,Black,MidnightBlue,#363232,Black,MidnightBlue,#413e44,Gray,DimGrey,#29201f,Black,Black,,,
Top asymétrique   Noir, noir et argenté  ,#383234,Black,MidnightBlue,#363233,Black,MidnightBlue,#413e44,Gray,DimGrey,#28201f,Black,Black,,,
Bustier en guipure   Blanc, blanc  ,#e2c5a9,Silver,Tan,#eecba6,Silver,Moccasin,#98a1b7,Silver,DarkGrey,#dfc1a3,Silver,Tan,,,
Bustier en guipure   Blanc, blanc  ,#e2c5a9,Silver,Tan,#eecba6,Silver,Moccasin,#98a1b7,Silver,DarkGrey,#dfbd9e,Silver,Tan,,,
Bustier à sequins   Argenté, argenté et blanc  ,#d8d7d8,Silver,LightGrey,#efc8a8,Silver,Moccasin,#352f32,Black,MidnightBlue,#dbdbdd,Silver,LightGrey,,,
Top irisé   Nude, nude  ,#e8d9cb,Silver,LightGrey,#e3c3a1,Silver,Tan,#867985,Gray,Grey,#e4d6c8,Silver,LightGrey,,,
Top métallisé   Gris chiné et argenté, gris chiné et argenté  ,#bca494,Silver,RosyBrown,#dededb,Silver,LightGrey,#3c373a,Black,MidnightBlue,#d5d1cc,Silver,LightGrey,,,
Top métallisé   Gris chiné et argenté, gris chiné et argenté  ,#bca494,Silver,RosyBrown,#dededb,Silver,LightGrey,#3c373a,Black,MidnightBlue,#d5d1cc,Silver,LightGrey,,,
Top métallisé   Gris chiné et argenté, gris chiné et argenté  ,#bca494,Silver,RosyBrown,#dededb,Silver,LightGrey,#3c373a,Black,MidnightBlue,#d5d1cc,Silver,LightGrey,,,
Bustier en guipure   Noir, noir  ,#2f2928,Black,Black,#eccba7,Silver,Moccasin,#d7c3a3,Silver,Tan,#252224,Black,Black,,,
Bustier en guipure   Noir, noir  ,#2f2928,Black,Black,#eccba7,Silver,Moccasin,#d7c3a3,Silver,Tan,#252224,Black,Black,,,
Top asymétrique en dentelle   Rouge, rouge  ,#da0914,Orange,Crimson,#eec9a2,Silver,Moccasin,#d0b9ae,Silver,Silver,#f93a39,Orange,Tomato,,,
Top asymétrique en dentelle   Rouge, rouge  ,#da0914,Orange,Crimson,#eec9a2,Silver,Moccasin,#d0b9ae,Silver,Silver,#f93a39,Orange,Tomato,,,
Top motifs fantaisie   Rose, rose,#a87e81,Gray,RosyBrown,#eecca9,Silver,Moccasin,#e9d7ce,Silver,LightGrey,#eacfb6,Silver,Moccasin,,,
Bustier motifs fleuris   Bleu marine, bleu marine,#eccbaf,Silver,Moccasin,#f1ceaf,Silver,Moccasin,#e2d8d1,Silver,LightGrey,#425081,Gray,DimGrey,,,
Blouse motifs fantaisie Noir, noir,#a18c85,Gray,RosyBrown,#a99186,Gray,RosyBrown,#908481,Gray,Grey,#767072,Gray,DimGrey,,,
Blouse motifs fantaisie Noir, noir,#a18d86,Gray,RosyBrown,#a99186,Gray,RosyBrown,#908481,Gray,Grey,#767072,Gray,DimGrey,,,
